,Store/Product,MAPE,R^2
412,Store_20 - HOME_AND_KITCHEN_II,39.25,0.63907
413,Store_20 - HOME_APPLIANCES,,
414,Store_20 - HOME_CARE,14.5,0.76256
415,Store_20 - LADIESWEAR,298.41,0.36937
416,Store_20 - LAWN_AND_GARDEN,106.99,0.24616
417,Store_20 - LINGERIE,79.23,0.02013
418,Store_20 - LIQUOR_WINE_BEER,29.6,0.71482
419,Store_20 - MAGAZINES,52.72,0.49653
420,Store_20 - MEATS,10.58,0.90048
421,Store_20 - PERSONAL_CARE,13.3,0.77746
422,Store_20 - PET_SUPPLIES,60.38,0.00184
423,Store_20 - PLAYERS_AND_ELECTRONICS,79.77,0.07139
424,Store_20 - POULTRY,18.3,0.70938
425,Store_20 - PREPARED_FOODS,14.92,0.70077
426,Store_20 - PRODUCE,12.16,0.76498
427,Store_20 - SCHOOL_AND_OFFICE_SUPPLIES,113.62,0.34633
428,Store_20 - SEAFOOD,43.88,0.31694
429,Store_21 - AUTOMOTIVE,45.83,0.5258
430,Store_21 - BABY_CARE,158.13,0.25252
431,Store_21 - BEAUTY,72.48,0.5346
432,Store_21 - BEVERAGES,14.59,0.53524
433,Store_21 - BOOKS,,
434,Store_21 - BREAD/BAKERY,13.13,0.85032
435,Store_21 - CELEBRATION,86.07,0.09028
436,Store_21 - CLEANING,60.51,0.51801
437,Store_21 - DAIRY,13.95,0.72863
438,Store_21 - DELI,14.82,0.6658
439,Store_21 - EGGS,29.29,0.34627
440,Store_21 - FROZEN_FOODS,19.55,0.8644
441,Store_21 - GROCERY_I,9.34,0.78188
442,Store_21 - GROCERY_II,60.67,0.11244
443,Store_21 - HARDWARE,118.6,0.02911
444,Store_21 - HOME_AND_KITCHEN_I,32.39,0.13874
445,Store_21 - HOME_AND_KITCHEN_II,28.04,0.33946
446,Store_21 - HOME_APPLIANCES,162.25,0.05914
447,Store_21 - HOME_CARE,13.13,0.67829
448,Store_21 - LADIESWEAR,42.35,0.45532
449,Store_21 - LAWN_AND_GARDEN,87.97,0.11686
450,Store_21 - LINGERIE,69.45,0.32765
451,Store_21 - LIQUOR_WINE_BEER,42.92,0.36321
452,Store_21 - MAGAZINES,65.35,0.10456
453,Store_21 - MEATS,24.88,0.284
454,Store_21 - PERSONAL_CARE,14.33,0.63896
455,Store_21 - PET_SUPPLIES,73.43,0.00746
456,Store_21 - PLAYERS_AND_ELECTRONICS,61.2,0.4405
457,Store_21 - POULTRY,17.3,0.41317
458,Store_21 - PREPARED_FOODS,13.88,0.34132
459,Store_21 - PRODUCE,12.98,0.84247
460,Store_21 - SCHOOL_AND_OFFICE_SUPPLIES,555.81,0.00952
461,Store_21 - SEAFOOD,90.15,0.45563
462,Store_22 - AUTOMOTIVE,81.08,0.26931
463,Store_22 - BABY_CARE,90.67,0.21439
464,Store_22 - BEAUTY,49.58,0.0843
465,Store_22 - BEVERAGES,22.99,0.00012
466,Store_22 - BOOKS,,
467,Store_22 - BREAD/BAKERY,24.93,0.11677
468,Store_22 - CELEBRATION,143.44,0.07886
469,Store_22 - CLEANING,20.47,0.34397
470,Store_22 - DAIRY,12.37,0.24321
471,Store_22 - DELI,22.59,0.02376
472,Store_22 - EGGS,64.91,0.00502
473,Store_22 - FROZEN_FOODS,19.26,0.77713
474,Store_22 - GROCERY_I,15.1,0.00418
475,Store_22 - GROCERY_II,121.64,0.29473
476,Store_22 - HARDWARE,53.05,0.01035
477,Store_22 - HOME_AND_KITCHEN_I,38.73,0.14489
478,Store_22 - HOME_AND_KITCHEN_II,26.07,0.10856
479,Store_22 - HOME_APPLIANCES,,
480,Store_22 - HOME_CARE,17.23,0.01204
481,Store_22 - LADIESWEAR,504.97,0.03402
482,Store_22 - LAWN_AND_GARDEN,,
483,Store_22 - LINGERIE,199.58,0.01516
484,Store_22 - LIQUOR_WINE_BEER,72.68,0.54809
485,Store_22 - MAGAZINES,53.63,0.84058
486,Store_22 - MEATS,52.38,0.00053
487,Store_22 - PERSONAL_CARE,21.73,0.13174
488,Store_22 - PET_SUPPLIES,55.55,0.0931
489,Store_22 - PLAYERS_AND_ELECTRONICS,68.54,0.16803
490,Store_22 - POULTRY,51.66,0.04412
491,Store_22 - PREPARED_FOODS,57.5,0.00159
492,Store_22 - PRODUCE,23.82,0.3596
493,Store_22 - SCHOOL_AND_OFFICE_SUPPLIES,18.09,0.96659
494,Store_22 - SEAFOOD,91.76,0.10219
495,Store_23 - AUTOMOTIVE,49.67,0.00036
496,Store_23 - BABY_CARE,,
497,Store_23 - BEAUTY,53.06,0.57622
498,Store_23 - BEVERAGES,16.84,0.18271
499,Store_23 - BOOKS,102.72,0.02625
500,Store_23 - BREAD/BAKERY,17.92,0.01379
501,Store_23 - CELEBRATION,211.38,0.09215
502,Store_23 - CLEANING,13.23,0.26316
503,Store_23 - DAIRY,10.29,0.10588
504,Store_23 - DELI,14.05,0.15267
505,Store_23 - EGGS,14.88,0.00724
506,Store_23 - FROZEN_FOODS,36.74,0.0155
507,Store_23 - GROCERY_I,8.91,0.07319
508,Store_23 - GROCERY_II,42.55,0.14771
509,Store_23 - HARDWARE,70.81,0.00204
510,Store_23 - HOME_AND_KITCHEN_I,51.24,0.05187
511,Store_23 - HOME_AND_KITCHEN_II,149.59,0.01342
512,Store_23 - HOME_APPLIANCES,52.26,0.02267
513,Store_23 - HOME_CARE,24.0,0.09737
514,Store_23 - LADIESWEAR,31.99,0.31004
515,Store_23 - LAWN_AND_GARDEN,99.66,0.09262
516,Store_23 - LINGERIE,85.28,0.00407
517,Store_23 - LIQUOR_WINE_BEER,36.41,0.54265
518,Store_23 - MAGAZINES,51.96,0.3998
519,Store_23 - MEATS,25.1,0.44487
520,Store_23 - PERSONAL_CARE,21.42,0.36409
521,Store_23 - PET_SUPPLIES,53.17,0.06129
522,Store_23 - PLAYERS_AND_ELECTRONICS,98.81,0.01644
523,Store_23 - POULTRY,20.84,0.42349
524,Store_23 - PREPARED_FOODS,27.73,0.01894
525,Store_23 - PRODUCE,13.78,0.41474
526,Store_23 - SCHOOL_AND_OFFICE_SUPPLIES,,
527,Store_23 - SEAFOOD,56.11,0.00356
528,Store_24 - AUTOMOTIVE,64.84,0.10379
529,Store_24 - BABY_CARE,319.58,0.11172
530,Store_24 - BEAUTY,70.67,0.0876
