,Store/Product,MAPE,R^2
1575,Store_52 - MEATS,12.0,0.83579
1576,Store_52 - PERSONAL_CARE,29.09,0.35498
1577,Store_52 - PET_SUPPLIES,35.69,0.00444
1578,Store_52 - PLAYERS_AND_ELECTRONICS,26.21,0.16784
1579,Store_52 - POULTRY,11.54,0.69467
1580,Store_52 - PREPARED_FOODS,18.87,0.1386
1581,Store_52 - PRODUCE,11.07,0.81904
1582,Store_52 - SCHOOL_AND_OFFICE_SUPPLIES,58.51,0.00274
1583,Store_52 - SEAFOOD,58.54,0.03424
1584,Store_53 - AUTOMOTIVE,115.66,0.46277
1585,Store_53 - BABY_CARE,,
1586,Store_53 - BEAUTY,173.2,0.44702
1587,Store_53 - BEVERAGES,15.98,0.58395
1588,Store_53 - BOOKS,,
1589,Store_53 - BREAD/BAKERY,10.68,0.678
1590,Store_53 - CELEBRATION,81.47,0.11982
1591,Store_53 - CLEANING,20.4,0.55847
1592,Store_53 - DAIRY,12.71,0.6766
1593,Store_53 - DELI,18.59,0.53857
1594,Store_53 - EGGS,11.2,0.63854
1595,Store_53 - FROZEN_FOODS,27.14,0.67212
1596,Store_53 - GROCERY_I,12.97,0.66658
1597,Store_53 - GROCERY_II,41.46,0.3922
1598,Store_53 - HARDWARE,75.2,0.0757
1599,Store_53 - HOME_AND_KITCHEN_I,33.22,0.01989
1600,Store_53 - HOME_AND_KITCHEN_II,51.57,0.03504
1601,Store_53 - HOME_APPLIANCES,254.09,0.18467
1602,Store_53 - HOME_CARE,41.17,0.40754
1603,Store_53 - LADIESWEAR,84.17,0.41903
1604,Store_53 - LAWN_AND_GARDEN,43.97,0.26592
1605,Store_53 - LINGERIE,62.78,0.02751
1606,Store_53 - LIQUOR_WINE_BEER,113.89,0.74583
1607,Store_53 - MAGAZINES,62.14,0.48849
1608,Store_53 - MEATS,11.5,0.86953
1609,Store_53 - PERSONAL_CARE,79.63,0.67704
1610,Store_53 - PET_SUPPLIES,69.04,0.07269
1611,Store_53 - PLAYERS_AND_ELECTRONICS,61.26,0.25505
1612,Store_53 - POULTRY,18.3,0.75228
1613,Store_53 - PREPARED_FOODS,27.9,0.7451
1614,Store_53 - PRODUCE,10.99,0.83194
1615,Store_53 - SCHOOL_AND_OFFICE_SUPPLIES,344.6,0.3306
1616,Store_53 - SEAFOOD,73.36,0.15055
1617,Store_54 - AUTOMOTIVE,49.01,0.48293
1618,Store_54 - BABY_CARE,,
1619,Store_54 - BEAUTY,49.95,0.48642
1620,Store_54 - BEVERAGES,30.1,0.34464
1621,Store_54 - BOOKS,,
1622,Store_54 - BREAD/BAKERY,12.89,0.86832
1623,Store_54 - CELEBRATION,77.81,0.15087
1624,Store_54 - CLEANING,30.46,0.28443
1625,Store_54 - DAIRY,11.7,0.58309
1626,Store_54 - DELI,16.27,0.53039
1627,Store_54 - EGGS,45.57,0.13605
1628,Store_54 - FROZEN_FOODS,35.33,0.32702
1629,Store_54 - GROCERY_I,10.41,0.57355
1630,Store_54 - GROCERY_II,63.85,1e-05
1631,Store_54 - HARDWARE,42.81,0.00033
1632,Store_54 - HOME_AND_KITCHEN_I,60.51,0.16832
1633,Store_54 - HOME_AND_KITCHEN_II,59.81,0.05872
1634,Store_54 - HOME_APPLIANCES,225.42,0.00206
1635,Store_54 - HOME_CARE,22.95,0.42327
1636,Store_54 - LADIESWEAR,,
1637,Store_54 - LAWN_AND_GARDEN,,
1638,Store_54 - LINGERIE,57.27,0.01336
1639,Store_54 - LIQUOR_WINE_BEER,49.07,0.0053
1640,Store_54 - MAGAZINES,57.14,0.05233
1641,Store_54 - MEATS,17.11,0.24512
1642,Store_54 - PERSONAL_CARE,15.08,0.70973
1643,Store_54 - PET_SUPPLIES,361.4,0.02084
1644,Store_54 - PLAYERS_AND_ELECTRONICS,115.3,0.0026
1645,Store_54 - POULTRY,14.74,0.36989
1646,Store_54 - PREPARED_FOODS,19.12,0.37337
1647,Store_54 - PRODUCE,7.26,0.86999
1648,Store_54 - SCHOOL_AND_OFFICE_SUPPLIES,,
1649,Store_54 - SEAFOOD,47.72,0.03797
1650,Store_6 - AUTOMOTIVE,27.58,0.0181
1651,Store_6 - BABY_CARE,,
1652,Store_6 - BEAUTY,45.41,0.00203
1653,Store_6 - BEVERAGES,17.49,0.60579
1654,Store_6 - BOOKS,,
1655,Store_6 - BREAD/BAKERY,13.79,0.37564
1656,Store_6 - CELEBRATION,93.1,0.02129
1657,Store_6 - CLEANING,21.68,0.64741
1658,Store_6 - DAIRY,13.5,0.76399
1659,Store_6 - DELI,18.32,0.44713
1660,Store_6 - EGGS,8.75,0.85442
1661,Store_6 - FROZEN_FOODS,25.06,0.37485
1662,Store_6 - GROCERY_I,11.22,0.64526
1663,Store_6 - GROCERY_II,20.62,0.4677
1664,Store_6 - HARDWARE,80.05,0.27057
1665,Store_6 - HOME_AND_KITCHEN_I,34.48,0.09757
1666,Store_6 - HOME_AND_KITCHEN_II,55.0,0.10093
1667,Store_6 - HOME_APPLIANCES,,
1668,Store_6 - HOME_CARE,36.07,0.35542
1669,Store_6 - LADIESWEAR,31.78,0.61605
1670,Store_6 - LAWN_AND_GARDEN,38.97,0.28534
1671,Store_6 - LINGERIE,120.03,0.31677
1672,Store_6 - LIQUOR_WINE_BEER,24.15,0.85736
1673,Store_6 - MAGAZINES,26.49,0.10392
1674,Store_6 - MEATS,10.14,0.71262
1675,Store_6 - PERSONAL_CARE,13.97,0.5184
1676,Store_6 - PET_SUPPLIES,31.59,0.02042
1677,Store_6 - PLAYERS_AND_ELECTRONICS,35.35,0.16771
1678,Store_6 - POULTRY,10.55,0.86937
1679,Store_6 - PREPARED_FOODS,17.72,0.48119
1680,Store_6 - PRODUCE,8.14,0.80851
1681,Store_6 - SCHOOL_AND_OFFICE_SUPPLIES,,
1682,Store_6 - SEAFOOD,11.65,0.68994
1683,Store_7 - AUTOMOTIVE,60.12,0.00462
1684,Store_7 - BABY_CARE,,
1685,Store_7 - BEAUTY,47.6,0.01843
1686,Store_7 - BEVERAGES,16.33,0.23992
1687,Store_7 - BOOKS,44.11,0.00764
1688,Store_7 - BREAD/BAKERY,30.03,0.21799
1689,Store_7 - CELEBRATION,41.56,0.00125
1690,Store_7 - CLEANING,21.46,0.721
1691,Store_7 - DAIRY,15.26,0.30563
1692,Store_7 - DELI,13.79,0.59159
1693,Store_7 - EGGS,13.24,0.44517
1694,Store_7 - FROZEN_FOODS,30.05,0.29269
1695,Store_7 - GROCERY_I,19.4,0.74364
1696,Store_7 - GROCERY_II,26.38,0.12039
1697,Store_7 - HARDWARE,83.53,0.00052
1698,Store_7 - HOME_AND_KITCHEN_I,37.58,1e-05
1699,Store_7 - HOME_AND_KITCHEN_II,41.18,0.24831
1700,Store_7 - HOME_APPLIANCES,59.09,0.00206
1701,Store_7 - HOME_CARE,26.6,0.50091
1702,Store_7 - LADIESWEAR,69.32,0.003
1703,Store_7 - LAWN_AND_GARDEN,26.41,0.313
1704,Store_7 - LINGERIE,61.02,0.01352
1705,Store_7 - LIQUOR_WINE_BEER,15.27,0.92791
1706,Store_7 - MAGAZINES,75.93,0.18725
1707,Store_7 - MEATS,13.09,0.61121
1708,Store_7 - PERSONAL_CARE,25.07,0.24784
1709,Store_7 - PET_SUPPLIES,34.33,0.14213
1710,Store_7 - PLAYERS_AND_ELECTRONICS,40.5,0.00073
1711,Store_7 - POULTRY,12.86,0.50964
1712,Store_7 - PREPARED_FOODS,19.27,0.0608
1713,Store_7 - PRODUCE,11.43,0.78242
1714,Store_7 - SCHOOL_AND_OFFICE_SUPPLIES,87.03,0.02476
1715,Store_7 - SEAFOOD,18.84,0.35984
1716,Store_8 - AUTOMOTIVE,121.2,0.17268
1717,Store_8 - BABY_CARE,57.33,0.00018
1718,Store_8 - BEAUTY,41.71,0.28709
1719,Store_8 - BEVERAGES,15.17,0.51109
1720,Store_8 - BOOKS,,
1721,Store_8 - BREAD/BAKERY,16.76,0.29313
1722,Store_8 - CELEBRATION,57.5,0.23068
1723,Store_8 - CLEANING,17.09,0.30732
1724,Store_8 - DAIRY,12.12,0.50911
1725,Store_8 - DELI,15.44,0.4307
1726,Store_8 - EGGS,10.36,0.80201
1727,Store_8 - FROZEN_FOODS,20.3,0.16846
1728,Store_8 - GROCERY_I,9.14,0.62812
1729,Store_8 - GROCERY_II,17.4,0.2663
1730,Store_8 - HARDWARE,109.72,0.04695
1731,Store_8 - HOME_AND_KITCHEN_I,36.19,0.29083
1732,Store_8 - HOME_AND_KITCHEN_II,28.81,0.32563
1733,Store_8 - HOME_APPLIANCES,,
1734,Store_8 - HOME_CARE,18.6,0.13442
1735,Store_8 - LADIESWEAR,41.3,0.0099
1736,Store_8 - LAWN_AND_GARDEN,21.76,0.5016
1737,Store_8 - LINGERIE,50.61,0.10056
1738,Store_8 - LIQUOR_WINE_BEER,21.92,0.77846
1739,Store_8 - MAGAZINES,38.84,0.14781
1740,Store_8 - MEATS,15.76,0.68454
1741,Store_8 - PERSONAL_CARE,20.29,0.52922
1742,Store_8 - PET_SUPPLIES,24.61,0.59328
1743,Store_8 - PLAYERS_AND_ELECTRONICS,24.87,0.21831
1744,Store_8 - POULTRY,12.6,0.83115
1745,Store_8 - PREPARED_FOODS,16.81,0.33779
1746,Store_8 - PRODUCE,12.49,0.73507
1747,Store_8 - SCHOOL_AND_OFFICE_SUPPLIES,47.9,0.0383
1748,Store_8 - SEAFOOD,31.89,0.267
1749,Store_9 - AUTOMOTIVE,31.89,0.06165
1750,Store_9 - BABY_CARE,92.55,0.11501
1751,Store_9 - BEAUTY,37.97,0.3145
1752,Store_9 - BEVERAGES,12.49,0.53317
1753,Store_9 - BOOKS,,
1754,Store_9 - BREAD/BAKERY,18.73,0.43552
1755,Store_9 - CELEBRATION,46.92,0.11177
1756,Store_9 - CLEANING,25.63,0.08414
1757,Store_9 - DAIRY,14.21,0.47507
1758,Store_9 - DELI,9.2,0.63145
1759,Store_9 - EGGS,23.98,0.59188
1760,Store_9 - FROZEN_FOODS,40.18,0.16173
1761,Store_9 - GROCERY_I,11.79,0.51441
1762,Store_9 - GROCERY_II,34.49,0.1396
1763,Store_9 - HARDWARE,50.58,0.12999
1764,Store_9 - HOME_AND_KITCHEN_I,23.51,0.00081
1765,Store_9 - HOME_AND_KITCHEN_II,19.67,0.54868
1766,Store_9 - HOME_APPLIANCES,,
1767,Store_9 - HOME_CARE,16.57,0.19097
1768,Store_9 - LADIESWEAR,113.78,0.28657
1769,Store_9 - LAWN_AND_GARDEN,110.02,0.04531
1770,Store_9 - LINGERIE,35.82,0.31115
1771,Store_9 - LIQUOR_WINE_BEER,22.64,0.84446
1772,Store_9 - MAGAZINES,58.55,0.00064
1773,Store_9 - MEATS,17.35,0.44761
1774,Store_9 - PERSONAL_CARE,13.71,0.35317
1775,Store_9 - PET_SUPPLIES,77.1,0.00045
1776,Store_9 - PLAYERS_AND_ELECTRONICS,78.67,0.31951
1777,Store_9 - POULTRY,15.09,0.44717
1778,Store_9 - PREPARED_FOODS,25.51,0.20726
1779,Store_9 - PRODUCE,11.8,0.74855
1780,Store_9 - SCHOOL_AND_OFFICE_SUPPLIES,59.6,0.19047
1781,Store_9 - SEAFOOD,28.61,0.02343
